,Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
0,Sep-24,64259.00,47528.00,64826.00,17414.00,16148.00,16032.00,11955.00,11909.00,11909.00,32.90
1,Jun-24,62613.00,45951.00,15442.00,17559.00,16339.00,16231.00,12105.00,12040.00,12040.00,33.26
2,Mar-24,61237.00,44073.00,15918.00,18253.00,17007.00,16849.00,12502.00,12434.00,12434.00,34.35
3,Dec-23,60583.00,44195.00,15155.00,16253.00,15020.00,14829.00,11097.00,11058.00,11058.00,30.55
4,Sep-23,59692.00,43946.00,14483.00,16714.00,15451.00,15330.00,11380.00,11342.00,11342.00,30.99
5,Jun-23,59381.00,44383.00,13755.00,16349.00,15106.00,14989.00,11120.00,11074.00,11074.00,30.26
6,Mar-23,59162.00,43388.00,14488.00,16905.00,15619.00,15391.00,11436.00,11392.00,11392.00,31.13
7,Dec-22,58229.00,42676.00,14284.00,16036.00,14767.00,14644.00,10883.00,10846.00,10846.00,29.53
8,Sep-22,55309.00,42030.00,13279.00,15481.00,14244.00,14096.00,10465.00,10431.00,10431.00,28.41
9,Jun-22,52758.00,40572.00,12186.00,14205.00,12975.00,12776.00,9519.00,9478.00,9478.00,25.90
10,Mar-22,50591.00,38081.00,12628.00,14826.00,13609.00,13364.00,9959.00,9926.00,9926.00,27.12
11,Dec-21,48885.00,35452.00,14638.00,14638.00,13442.00,13191.00,9806.00,9769.00,9769.00,26.40
12,Sep-21,46867.00,8270.00,12000.00,14198.00,13082.00,12969.00,9653.00,9624.00,9624.00,26.02
13,Jun-21,45411.00,33823.00,11588.00,13384.00,12309.00,12163.00,9031.00,9008.00,9008.00,24.35
14,Mar-21,43705.00,32129.00,11576.00,13732.00,12665.00,12527.00,9282.00,9246.00,9246.00,25.00
15,Dec-20,42015.00,30804.00,11211.00,12899.00,11875.00,11692.00,8727.00,8701.00,8701.00,23.19
16,Sep-20,40135.00,29620.00,9298.00,11209.00,10211.00,10037.00,7504.00,7475.00,7475.00,19.92
17,Jun-20,38322.00,29274.00,9048.00,10622.00,9646.00,9504.00,7049.00,7008.00,7008.00,18.68
18,Mar-20,39946.00,29921.00,10025.00,11714.00,10763.00,10512.00,8093.00,8049.00,8049.00,21.45
19,Dec-19,39854.00,29880.00,9974.00,10767.00,11689.00,10569.00,8143.00,8118.00,8118.00,21.63
20,Sep-19,38977.00,29616.00,9361.00,10706.00,11586.00,10529.00,8058.00,8042.00,8042.00,21.43
21,Jun-19,38172.00,28952.00,9221.00,10873.00,11712.00,10638.00,8153.00,8131.00,8131.00,21.67
22,Mar-19,38010.00,28473.00,9537.00,10704.00,11267.00,10702.00,8152.00,8126.00,8126.00,21.66
23,Dec-18,37338.00,27774.00,9564.00,10679.00,9564.00,10711.00,8121.00,8105.00,8105.00,21.60
24,Sep-18,36854.00,27082.00,9772.00,10201.00,9772.00,10364.00,7927.00,7901.00,7901.00,20.66
25,Jun-18,34261.00,25681.00,8580.00,9747.00,8580.00,9786.00,7362.00,7340.00,7340.00,19.17
26,Mar-18,32473.00,23928.00,8147.00,9120.00,8147.00,9129.00,6925.00,6904.00,6904.00,18.04
27,Dec-17,30904.00,23117.00,7787.00,8637.00,7787.00,8645.00,6545.00,6531.00,6531.00,17.06
28,Sep-17,30541.00,22876.00,7665.00,8465.00,7665.00,8472.00,6460.00,6446.00,6446.00,16.84
29,Jun-17,29584.00,22665.00,6919.00,7868.00,6919.00,7846.00,5950.00,5945.00,5945.00,15.20
30,Mar-17,30320.00,22012.00,7630.00,8610.00,7630.00,8616.00,6622.00,6608.00,6608.00,33.52
31,Dec-16,29735.00,21998.00,7737.00,8889.00,7737.00,8918.00,0,6778.00,0,34.40
32,Sep-16,29284.00,0,7622.00,0,0,8669.00,0,0,0,0
33,Jun-16,29305.00,0,7352.00,0,0,8310.00,0,0,0,0
